search_term,ol_key,title,author,first_publish_year,publisher,language,subject,isbn,cover_i
literary comics,/works/OL19927768W,What It Is,Lynda Barry,2008.0,,eng,,,6295896.0
literary comics,/works/OL789425W,La historieta argentina,"Judith Gociol, Diego Rosemberg",2000.0,,spa,,,4912424.0
literary comics,/works/OL27767476W,Wiggansnatch,Laughing Otter Productions,1984.0,,eng,,,
literary comics,/works/OL3408872W,"Hood's own: or, Laughter from year to year",Thomas Hood,1839.0,,eng,,,5783692.0
literary comics,/works/OL1834123W,Enter Rabelais laughing,Barbara C. Bowen,1998.0,,eng,,,3727135.0
literary comics,/works/OL40197956W,Stories by Famous Authors Illustrated #8 : Hamlet,"Seaboard Publications, William Shakespeare",2017.0,,eng,,,
literary comics,/works/OL20894215W,"Goodbye, Again",Jonny Sun,2021.0,,eng,,,10227194.0
literary comics,/works/OL20040421W,The World of Edena,Moebius,2016.0,,eng,,,14831254.0
literary comics,/works/OL44512987W,La interpretación y la imagen de masas,Francisco Yus Ramos,1997.0,,"spa, eng",,,
literary comics,/works/OL6683560W,Scottish Fairy and Folk Tales,Sir George Brisbane Douglas,1893.0,,eng,,,6670990.0
literary comics,/works/OL42753205W,All in a bustle: or The new house,"William Milns, N.Y. : Park Row) Park Theatre (New York",1798.0,,eng,,,
